dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold
bigvul,baseline,42,0.4462809917355372,0.04333868378812199,0.07900512070226774,0.1254761659725143,0.1831184362974319,20869,67,1192,54,0.5
bigvul,class_weighted,42,0.12150756693830035,0.6701444622792937,0.20571569352057156,0.19010811591494264,0.19472486782886872,14899,6037,411,835,0.5
bigvul,focal_loss,42,0.46153846153846156,0.004815409309791332,0.009531374106433678,0.04263258005086973,0.1511941330187474,20929,7,1240,6,0.5
bigvul,random_oversampling,42,0.12722323049001816,0.5626003210272873,0.20751924215512138,0.1773986823992126,0.16177429457887602,16127,4809,545,701,0.5
bigvul,random_undersampling,42,0.1205087440381558,0.608346709470305,0.20116772823779194,0.17578919223239084,0.16016159331478927,15404,5532,488,758,0.5
