dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold
reveal,baseline,42,0.3259668508287293,0.14824120603015076,0.20379965457685664,0.17174989855583686,0.26490979972853446,4024,122,339,59,0.5
reveal,class_weighted,42,0.2777142857142857,0.6105527638190955,0.38177533385703066,0.32843876319150916,0.30818674832356946,3514,632,155,243,0.5
reveal,focal_loss,42,0.45121951219512196,0.09296482412060302,0.15416666666666667,0.17437561783030486,0.2736838439597792,4101,45,361,37,0.5
reveal,random_oversampling,42,0.24170616113744076,0.6407035175879398,0.3509979353062629,0.2997861895803914,0.27520090140983344,3346,800,143,255,0.5
reveal,random_undersampling,42,0.21621621621621623,0.5226130653266332,0.3058823529411765,0.2357995841959681,0.2491172432378359,3392,754,190,208,0.5
