dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold
devign,baseline,42,0.5469613259668509,0.0826722338204593,0.14363438520130578,0.05164005027367151,0.5174646885891218,2739,164,2197,198,0.5
devign,random_oversampling,42,0.0,0.0,0.0,0.0,0.45205738014345037,2903,0,2395,0,0.5
devign,random_undersampling,42,0.4744655581947744,0.3336116910229645,0.3917626869330718,0.030734007526675943,0.48084011464297405,2018,885,1596,799,0.5
devign,class_weighted,42,0.5351793009532456,0.49227557411273487,0.5128316659417138,0.14090557273825777,0.5308217761443234,1879,1024,1216,1179,0.5
devign,focal_loss,42,0.0,0.0,0.0,0.0,0.49871717328544385,2903,0,2395,0,0.5
