dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold
bigvul,baseline,1337,0.5268817204301075,0.03932584269662921,0.07318894697535475,0.13264831642939798,0.18214029474731125,20892,44,1197,49,0.5
bigvul,class_weighted,1337,0.13056428926030117,0.6332263242375602,0.2164906022774043,0.19770272572203132,0.18460521760904136,15682,5254,457,789,0.5
bigvul,random_oversampling,1337,0.20489977728285078,0.36918138041733545,0.2635348037811515,0.21675351163587714,0.16840646687217292,19151,1785,786,460,0.5
