dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold
devign,baseline,1337,0.5425764192139738,0.20751565762004176,0.30021141649048627,0.08315476916903992,0.5156166381413325,2484,419,1898,497,0.5
devign,random_oversampling,1337,0.47789878283151827,0.311482254697286,0.37714863498483314,0.03355765953500175,0.48289578211253137,2088,815,1649,746,0.5
devign,random_undersampling,1337,0.5407447382622774,0.4183716075156576,0.4717514124293785,0.13068943840514602,0.5251913751407676,2052,851,1393,1002,0.5
devign,class_weighted,1337,0.5496894409937888,0.1478079331941545,0.23297137216189537,0.07297227363738228,0.5148718500177951,2613,290,2041,354,0.5
devign,focal_loss,1337,0.0,0.0,0.0,0.0,0.49793939488783895,2903,0,2395,0,0.5
